Brand,ASIN,ItemModelNumber,Q,A,Votes,Date,Customer Name
iSpring,B008H71Q4C,ICEK,Will this work with Waterdrop RO system?,"Hi,Yes, as long as your Waterdrop system uses 1/4"" lines, this will work. If you have any questions or need additional assistance, please contact us at support@123filter.com or call us at (678) 261-7611.Thanks,iSpring Water Systems, LLC ",0," March 24, 2021",A manufacturer
iSpring,B008H71Q4C,ICEK,Does this eliminate ammonia in the water as well?,I can't understand. This is a tap water filter. Ammonia is incomprehensible to tap water.,0," April 28, 2021",Koji S.
iSpring,B008H71Q4C,ICEK,"The compression fitting was lost or missing. what do i need to purchase to replace? can i use a standard 1/4"" compression fitting from a hw store?",Please provide your name and shipping address. A replacement part will be sent. You can use a standard fitting.Which fitting do we need to replace please?iSpring Water Systems ,0," November 21, 2019",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Will this fit the Primier RO system?,Yes.,0," February 7, 2017",Jeremy Frank
iSpring,B008H71Q4C,ICEK,Does this work with iSpring RO500 model?,"Hi Hyunmin,Unfortunately, the RO500 is not compatible with refrigerator hookups. It can only be used from the faucet. The reason is because the smart faucet is hardwired to the pump, so the pump will only turn on when the faucet is open. If you have any questions or need additional assistance, please contact us at support@123filter.com or call us at (678) 261-7611.Thanks,iSpring Water Systems, LLC ",0," February 15, 2021",A manufacturer
iSpring,B008H71Q4C,ICEK,Where can I get the tee fitting and valve fitting separately?,"Hi,You can find both the T fitting and valve individually on our site 123filter.com. Look under parts and accessories, then ""fittings"".All the best,AndrewiSpring Water Systems | (678) 261-7611 M-F 9-5 EST | sales@123filter.com ",0," March 3, 2016",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,"Are all the pieces pvc, bpa, lead free? including the fitting, valve, connection and clip etc?","Hello,Thank you for contacting support.Yes, our products are tested by independent third-party to meet NSF/ANSI Standards.Any other questions we are here to assist you. ",0," December 21, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,This says newest version with carbon block filters. usually block filters are better than granulated ones. how far this info. is correct?,"Hi,The US31 system comes with 1 Sediment and 2 CTO Carbon Block Filters. The ""Newest Version"" due to it comes with the updated housings and with the Quick Connect Fittings.",0," May 4, 2020",Customer S.
iSpring,B008H71Q4C,ICEK,Why does the water contain tiny bubbles?,"Hi Timothy, The bubbles are trapped air inside the system. This will go away in a week or 2 as you continue to use the system. Please reach out to our customer service team for additional questions. We're always ready to help.iSpring Water Systems, LLC",0," January 20, 2022",A manufacturer
iSpring,B008H71Q4C,ICEK,"Desc. states ""up to 1 gpm"". why am i easily getting more than that with very avg. pressure. double checked filter position, direction, etc. ??","Mine flows easily > 1 gpm. Once plumbed into my refrigerator, it gets capped to .50 gpm… This is using a 70psi water regulator. Using mostly braided hoses too...",0," March 18, 2020",Chris McCrary
iSpring,B008H71Q4C,ICEK,"We have a private well and have iron/rusty water as a result, does this filter system remove iron?","We have a well too, but use a whole house softener in addition. I'd think if you use only this filter, it would depend on the amount of iron you've got in your water.",0," January 27, 2019",Matt B
iSpring,B008H71Q4C,ICEK,Does this or a similar unit come with chrome faucet instead of brushed nickel?,"Hi Lisa, Thank you for posting your question here. The system comes standard with a brushed nickel faucet only. You can purchase the chrome faucet separately herehttps://www.amazon.com/iSpring-GA1-B-Commercial-Faucet-Luxury-Chrome-Contemporary/dp/B0067TOFLS/iSpring Water Systems, LLC ",0," May 9, 2022",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Can a ro membrane be added to this to make this an ro system?,"Thank you for the question. It would be a lot easier to just buy the RCC7 RO system rather than convert this model.Kindest,iSpring Team ",0," April 17, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,Will this kit works on any under the sink filters? does it has to be an ro system or can i use with one that have 3 filters?,"Hi Jerry, If your undersink filter uses 1/4"" RO tubings, this will work with no issues. We also use this with our 3 stage system (US31 model). Please reach out to our customer service team for more questions. We're always ready to help.iSpring Water Systems, LLC",0," September 14, 2022",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Can you find all these parts at home depot or lowes?,"Hello H,We do sell the kit at home depot website and all the parts are standard size, therefore you may purchase them separately by various brands at Home Depot or Lowes. Prices may vary.http://www.homedepot.com/p/ISPRING-Ice-Maker-Kit-for-Reverse-Osmosis-Systems-and-Water-Filters-with-Extra-Brass-Fitting-for-Fridge-Water-Inlet-ICEK/206466796?keyword=iSpring+ICEK+Reverse+Osmosis+Water+System+Refrigerator+Connection+Kit ",0," January 11, 2016",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Where are filters manufactured,"Hi,These filters are manufactured in Taiwan. If you have any questions or need additional assistance, please contact us at support@123filter.com or call us at (678) 261-7611.Thanks,iSpring Water Systems, LLC ",0," February 18, 2021",A manufacturer
iSpring,B008H71Q4C,ICEK,"I need a connector t that goes to a quarter inch from two half-inch tubes, do you sell these?",I bought from company not em[ployee,0," October 31, 2020",Rick B
iSpring,B008H71Q4C,ICEK,What size is the compression nut in the picture?,"1/4 inch. The water line is 1/4"" and 20' long.",0," March 8, 2018",R. Hall
iSpring,B008H71Q4C,ICEK,What are the differences between this model us31 and wcc31?,"Hi,The US31 is the newest version available and includes an upgraded RO faucet and also has other upgraded features from the WCC31.Thank you,iSpring Water Systems LLC ",0," October 2, 2018",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,How could I connect this to my refrigerator if my filter system is installed on an kitchen island sink?,"You will have to cut your existing line between your last ispring filter and your filer water faucet under the sink and add the T 1/4 nylon hose fitting,then add approximately 4 inches of the 1/4 inch nylon hose then add the 1/4 inch inline shutoff fitting. You will have to gain access from your sink to the refrigerator if access doesn't exist you Will have to create access. I had to drill through my basement floor to the sink and the refrigerator because I mounted my ispring filter system in the basement. Once you have provided access then run the nylon 1/4 inch line from under your sink to the refrigerator ice maker. Hook the line to the shut off fitting under the sink the run the nylon 1/4 inch tubing to the connection to the ice maker located at the back of the refrigerator with the compression ring fitting then the nut to complete the installation. Then if you should end up with a leak you can turn off thr shut off fitting under the sink and repair the problem. Most of the time a leak is created from being extra strong tighten the nut to the refrigerator wreaking the compression ring. I left extra 1/4 inch nylon line behind my refrigerator in case I had to recut it and redue the connection with a new compression ring.stick will the plastic compression rings the work better with the nylon line and have better success. Hope this help, ask your local hardware person if you want some more advice. ",0," May 21, 2016",Amazon Customer
iSpring,B008H71Q4C,ICEK,Can this be used with amway espring water purifier?,"The kit comes with a 1/4"" x 1/4"" x 1/4"" ""T"" valve to branch off from the RO system, 20 feet of 1/4"" tubing, a 1/4"" x 1/4"" ball valve to shut off the flow when needed, and a compression connection set for connecting to the output location. The fridge connection kit will work with any RO system or filtration system that uses standard 1/4"" tubing. ",0," June 30, 2022",A manufacturer
iSpring,B008H71Q4C,ICEK,"Does this kit require a storage tank, or can I skip having to use one?","Hi,If this kit is being used with an iSpring RO system, the tank is required on the RO system to provide pressure to the refrigerator or faucet.Thank you,iSpring Water Systems LLC ",0," January 22, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,Our household water pressure is usually 40 to 60 psi. Would this provide enough pressure for efficient filtration?,My well pressure is 40 to 60 psi and this works just fine.,0," December 1, 2018",B Bendt
iSpring,B008H71Q4C,ICEK,What is the difference between the newest version and the old version (other than the price)?,"Hi,Please see the upgrades to the new US31 model listed below:Check US31 (Newest Version) for Better Performance2018 Version: Improved Feed Water adapter2018 Version: Improved Quick-Connect Fittings2018 Version: Improved Drinking Water Faucet2018 Version: Improved Carbon FiltersThank you,iSpring Water Systems LLC ",0," June 11, 2018",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,How tall is the faucet?,"Hi,The faucet height is 11.25 inches.Thank you,iSpring Water Systems LLC ",0," March 25, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,Will this work with a woder 10k-jg-1/4 ultra high capacity inline water filter?,"Hi,Yes, this will work with the Woder filter. For more details, please contact us at (678)261-7611.",0," January 2, 2019",Customer S.
iSpring,B008H71Q4C,ICEK,I have a hot water circulating pump that pumps hot water thru the cold water lines back into the water heater tank. Will that shorten these filters?,"Hello,The US31 system is only for cold water.",0," February 5, 2020",A manufacturer
iSpring,B008H71Q4C,ICEK,It's labeled for ice makers; any reason this coudn't be used to connect an RO faucet from the kitchen?,You can use it to connect ro faucet I did works fine,0," November 19, 2018",Tai
iSpring,B008H71Q4C,ICEK,Can t his filter be used on the hot water side?,"Hi,Unfortunately, no. The high temperature will compromised the components and eventually will cause damage. For more details, please contact us at (678)261-7611 or visit our website and click the ""Support"" link on top to create a support ticket.Thanks,iSpring Water Systems LLC ",0," July 7, 2020",Customer S.
iSpring,B008H71Q4C,ICEK,How much do the replacement filters cost?,$20 ,0," April 21, 2020",Sumit Kumar
iSpring,B008H71Q4C,ICEK,is there a filter cartridge available to better remove lead?,"Hi,We apologize as there is not a filter cartridge for this system that is able to remove lead content. In order to remove Lead content you would need a Reverse Osmosis System with a reverse osmosis membrane filter.Thank you,iSpring Water Systems LLC ",0," August 22, 2019",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Will this fit lg model ltcs20020w?,"Connects any water filtration system (including reverse osmosis systems) to the ice maker or water dispenser of your fridgeDelivers crystal clear ice cubes and great tasting RO water to your fridge, superior to inline fridge filtersKit includes everything you need for the installation - approximately 20 feet of 1/4"" tubing, a 1/4"" x 1/4"" x 1/4"" ""T"" fitting, an inline 1/4"" x 1/4"" shut-off valve, and a compression fitting set. Tested by an independent third party to meet NSF/ANSI StandardsPush-in quick-connect fittings offer easy DIY installation with no tools requiredTested by an independent third party to meet NSF/ANSI StandardsIf you have other questions, please call us at 678-261-7611 (M-F, 8:30 - 5:30 EST), text us at 470-560-0012 (M-F, 8:30 - 5:30 EST), or email us at support@123filter.com. We are happy to help! ",0," April 28, 2023",Customer S.
iSpring,B008H71Q4C,ICEK,Can I use this valve to govern the water flow to the ice maker ? Or is it simply all on and all off?,"Hi Paul, The valve included is an ""on and off"" valve only. Please reach out to our customer service team for additional questions. We're always ready to help.iSpring Water Systems, LLC",0," October 22, 2021",A manufacturer
iSpring,B008H71Q4C,ICEK,What is the approx. cost of the filters?,$20 for a 6 months supply,0," March 27, 2020",AlexMoose
iSpring,B008H71Q4C,ICEK,What replacement cartridges work?,This system uses iSpring FP15 sediment filter and two FC15 carbon filters.iSpring Water Systems,0," November 29, 2019",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,How many gallons of water should you run through it after installation,"The installation instructions say for how long you should let it run after installing (5 minutes, I believe). I have installed this and another one very similar to this and a good way to tell is just let it run until water comes out clear, since at first it looks whiteish/bubbly. A clear glass might help.",0," April 21, 2020",Amazon Customer
iSpring,B008H71Q4C,ICEK,Do the system come with dispenser,"Thank you for the question. The system does come with a faucet.Kindest,iSpring Team ",0," May 1, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,Does this fits into a da29-10105j Samsung filter?,With adaptor.,0," April 20, 2020",Allen Nejelski
iSpring,B008H71Q4C,ICEK,"Does this come with the fittings to install it on an existing faucet, like the countertop model with the little valve?",I would say no. The kit has fitting for the included faucet only. Unless you have a quick connect on your existing faucet. Or have a fitting on hand that would directly mount into the exit port of the filter housing.I had to source a few bits from my LHS for my own setup. (Expanded from the just the housings alone),0," April 28, 2020","I would say no. The kit has fitting for the included faucet only. Unless you have a quick connect on your existing faucet. Or have a fitting on hand that would directly mount into the exit port of the filter housing.

I had to source a few bits from my LHS for my own setup. (Expanded from the just the housings alone)
Chris McCrary · April 28, 2020
See all 4 answers"
iSpring,B008H71Q4C,ICEK,is the faucet stainless steel? or chrome?,"I purchased this system mainly because of the faucet, but the faucet I received was not the one pictured so I purchased the faucet separately. (iSpring GA1-BN Heavy Duty Kitchen Bar Sink Drinking Water Faucet, Commercial Water Filtration Faucet - Brushed Nickel - Contemporary Style High-Spout)",0," November 6, 2019",Emma E Newstead
iSpring,B008H71Q4C,ICEK,"If installed in a travel trailer that isn't used for 2-3 months, will the filters need to be replaced sooner?","Hello,Thank you for contacting support. Yes, if you will not use the system for 2-3 months I will advice you to remove the filters from the system and when you are ready to use it again, place new filters.",0," February 27, 2020",Customer S.
iSpring,B008H71Q4C,ICEK,Can you hookup to 1/2 cpvc access lines supply line,"Hi,The ICEK accessory is connected normally with a 1/4"" reverse osmosis tubing. You would most likely need a special adapter to convert the ICEK to the 1/2 cpvc access line supply. We apologize as we do not offer this adapter that you are requesting.Thank you,iSpring Water Systems LLC ",0," August 23, 2019",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Is this only the ice maker on refrigerator or the ice maker and water? i want to filter both the ice maker and water from my refrigerator.,"Hi Kennedy,This ICEK will allow to T off the RO water to the refrigerator. This way you can have filtered water to the RO faucet and at the fridge.ThanksClaudiaiSpring Water Systems | (678) 261-7611 M-F 9-5 EST | sales@ispringfilter.com ",0," March 31, 2016",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Does the quick fitting that connects to the faucet need a lock clip where the tube connects?,"Hello,No, the Lock clips are use just to secure the tube in place. It does not prevent leaks.",0," February 5, 2020",A manufacturer
iSpring,B008H71Q4C,ICEK,is it made in USA?,"Hello,Thank you for contacting support. All our products are made overseas in China. Let us know if you have other questions.",0," January 3, 2020",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,why are two of the three filters the same type?,"Hello,Thank you for contacting support. This system comes with 2 CTO Carbon Block Filters. The 2nd Carbon filter removes residual chlorine, tastes and odors, cloudiness, VOC's, harmful chemicals, colors and more. If you wish you can always change one of this filters to a GAC Carbon block filter but the function is pretty much the same for both filter. ",0," January 24, 2020",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,Can I get the housing without the faucet? I already have a nice bar faucet that I prefer over supplied.,"Hi,We would recommend using the supplied faucet but you can use the bar faucet at your home as long as it can be connected to the system. Please contact us at 678-261-7611 if you have any additional questions.Thank you,iSpring Water Systems LLC ",0," March 15, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,"Need replacement O-ring one is leaking, what size are they?",Contact the company. They sent me replacements.,0," August 12, 2022",Chris
iSpring,B008H71Q4C,ICEK,Is this compatible with a Kenmore water and ice hookup,I'm not sure about Kenmore but it works for a Samsung refrigerator. Before you hook it up to your refrigerator make sure your reverse osmosis system puts out enough pressure and make sure you know the minimum pressure your ice maker/water dispenser needs. For instance my reverse osmosis system put out 7 PSI and the minimum requirement for the refrigerator was 20 PSI. So the ice machine worked with the low PSI but the water dispenser didn't work. Long story short I ended up hooking up all the water lines straight to my main water supply that's at 50 PSI.I hope this helps you. ,0," October 11, 2019","I'm not sure about Kenmore but it works for a Samsung refrigerator. Before you hook it up to your refrigerator make sure your reverse osmosis system puts out enough pressure and make sure you know the minimum pressure your ice maker/water dispenser needs. For instance my reverse osmosis system put out 7 PSI and the minimum requirement for the refrigerator was 20 PSI. So the ice machine worked with the low PSI but the water dispenser didn't work. Long story short I ended up hooking up all the water lines straight to my main water supply that's at 50 PSI.
I hope this helps you. see less

jmordhjr · October 11, 2019"
iSpring,B008H71Q4C,ICEK,Will this work in a rv for the whole water system,"I use it for drinking water in my whole house. I have mine in the utility room and run 1/4"" line around the house. The same should work in an rv. Get a roll of 1/4"" polyethylene tubing and a bunch of push connect T (usually you can find them by searching for RO fittings).",0," July 15, 2022",N. Horvath
iSpring,B008H71Q4C,ICEK,Can I purchase a 30ft hose fridge kit?,,0,,
iSpring,B008H71Q4C,ICEK,Why is only one canister clear?,That's the sediment filter. Won't be able to see the chemicals removed in the other two so they don't need to be clear.,0," February 17, 2022",Scott K. Nilsson
iSpring,B008H71Q4C,ICEK,I have the ispring rcc7ak system. what is the expected output pressure from the storage tank? my fridge requires at least 21 psi.,Tank pressure if it is adjustable could be set to 21 psi; otherwise the pressure of your city water pressure or filtration system is what you will have.,0," March 29, 2018",Ray Goodwin
iSpring,B008H71Q4C,ICEK,Can this be connected directly to the copper pipe that goes to the refrigerator?,"Hi,Yes, this is meant to hook up to the copper pipe that goes to the refrigerator. If you have any questions or need additional assistance, please contact us at support@123filter.com or call us at (678) 261-7611.Thanks,iSpring Water Systems, LLC ",0," October 8, 2020",Customer S.
iSpring,B008H71Q4C,ICEK,"The main product description does not say it removes heavy metals, though a graphic further down says it does. Does this remove metals such as lead?","Hi Amy,The carbon block filters do remove some heavy metals like lead but if you are looking for a filtration system with a higher rejection rate, please check out some of our reverse osmosis systems that remove up to 99% of over 1,000 contaminants.iSpring Water Systems678-261-7611 support@ispringfilter.com ",0," August 30, 2018",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,what the difference between this and apec wfs-1000?,"Hi,Thank you for the question! Both units are very similar with the exception of a few design differences such as the color of the housings and the design of the faucet. For more details, please contact us at (678)261-7611.Regards,iSpring Water Systems, LLC ",0," July 16, 2019",A manufacturer
iSpring,B008H71Q4C,ICEK,Compression fitting doesn't seem to be working for me. The pipe comes right out. Am i doing it wrong?,Yes. You have to lock the fitting by pulling out on the blue ring.,0," October 23, 2019",Allen Nejelski
iSpring,B008H71Q4C,ICEK,Is the water supposed to come out cloudy? I let it run through the filter for a few minutes and it’s still cloudy water,"It will take a while to get all the air out of the filter. I ran water for at least five minutes and still had tiny bubbles, which make the water look cloudy, the water become clear fair quickly. Took quite a while, several days of using the water before it started to come out clear.",0," January 26, 2020",R W
iSpring,B008H71Q4C,ICEK,does this remove fluoride? Not sure what use a filter would be if it left in the toxic fluouride. thanks,"Hi,No, the only filters that can remove fluoride are Reverse Osmosis or an alumina filter.",0," August 21, 2018",A manufacturer
iSpring,B008H71Q4C,ICEK,How much for installation cost,Thank you for your question. We are the manufacturer and do not offer installation services. A certified plumber should be able to install our systems if you do not want to install on your own.iSpring Water Systems,0," May 24, 2018",iSpring Water Systems
iSpring,B008H71Q4C,ICEK,"I did not think that the unit providing water out of the sink for washing fruits, etc, was not that large? Might I return it and be credited ?","I use it really often during the day (fill gallons and jugs of water, ice tray, for coffee and tea,...) Have good water flow compared to other types of filters like RO.",0," January 27, 2020",HCA
iSpring,B008H71Q4C,ICEK,"Not sure how to connect (no RO filter yet)? A saddle valve on the cold pipe, feeds a braded hose, connects to a copper tube, then to the fridge","Hi,You will need a T-valve or an inline adapter from your pipe to the 1/4"" tubing. In order to better assist you, please contact our customer service team at (678)261-761",0," December 26, 2018",Customer S.
iSpring,B008H71Q4C,ICEK,where do you get filters? what kind of filters? how much are they?,I got mine from the same place I bought the filter system: Amazon. You get a pack of 3 filters for a direct replacement.,0," January 29, 2020",mark
iSpring,B008H71Q4C,ICEK,We have ispring wgb32bm(iron & manganese style) installed. which additional filter system should i install to make water cleaner for drinking?,Reverse Osmosis or water destiller.,0," April 29, 2020",HCA
iSpring,B008H71Q4C,ICEK,Why is there black water coming out of the third filter..??,"Hello,Allow the faucet to remain open to rinse the unit for at least five minutes (sometimes might take more time). It is normal to see residual carbon and fine air bubbles in the water when flushing the system for the first time. If the issues persist please call us at (678) 261-7611 for more information.",0," January 27, 2020",A manufacturer
